channel names:							
025_-174_174_50 - Brücke (V/V) - R0__PXI1Slot2_ai0	025_-174_174_50 - Brücke (V/V) - R1__PXI1Slot2_ai1	025_-174_174_50 - Brücke (V/V) - R2__PXI1Slot2_ai2	025_-174_174_50 - Brücke (V/V) - R3__PXI1Slot2_ai3	025_-174_174_50 - Brücke (V/V) - R4__PXI1Slot2_ai4	025_-174_174_50 - Brücke (V/V) - R5__PXI1Slot2_ai5	025_-174_174_50 - Brücke (V/V) - R6__PXI1Slot2_ai6	025_-174_174_50 - Brücke (V/V) - R7__PXI1Slot2_ai7
start times:							
23.05.2024 15:15:50,527752	23.05.2024 15:15:50,527752	23.05.2024 15:15:50,527752	23.05.2024 15:15:50,527752	23.05.2024 15:15:50,527752	23.05.2024 15:15:50,527752	23.05.2024 15:15:50,527752	23.05.2024 15:15:50,527752
dt:							
0,020000							
data:							
2,962565E-1	2,814237E-2	-7,257879E-1	2,327267E-1	-5,308879E-1	-4,341090E-1	-5,144122E-2	-9,882766E-2
2,962208E-1	2,820197E-2	-7,258475E-1	2,328340E-1	-5,310309E-1	-4,339779E-1	-5,125048E-2	-9,889919E-2
2,963042E-1	2,828542E-2	-7,257521E-1	2,327982E-1	-5,310905E-1	-4,339898E-1	-5,115511E-2	-9,887534E-2
2,962804E-1	2,820197E-2	-7,257164E-1	2,326671E-1	-5,310309E-1	-4,340375E-1	-5,123856E-2	-9,886342E-2
2,962804E-1	2,809469E-2	-7,257402E-1	2,326433E-1	-5,311382E-1	-4,342163E-1	-5,138161E-2	-9,905416E-2
2,962208E-1	2,819005E-2	-7,256806E-1	2,325717E-1	-5,312336E-1	-4,341806E-1	-5,158427E-2	-9,912568E-2
2,961373E-1	2,827350E-2	-7,256806E-1	2,326075E-1	-5,310548E-1	-4,341090E-1	-5,135777E-2	-9,906608E-2
2,961731E-1	2,823774E-2	-7,257760E-1	2,326194E-1	-5,311144E-1	-4,340733E-1	-5,125048E-2	-9,889919E-2
2,962804E-1	2,820197E-2	-7,257164E-1	2,326313E-1	-5,310190E-1	-4,339898E-1	-5,127432E-2	-9,889919E-2
2,963161E-1	2,817813E-2	-7,257164E-1	2,327625E-1	-5,310309E-1	-4,340256E-1	-5,127432E-2	-9,904224E-2
2,961731E-1	2,810661E-2	-7,256925E-1	2,326194E-1	-5,311621E-1	-4,340733E-1	-5,129817E-2	-9,900647E-2
2,961850E-1	2,808276E-2	-7,257760E-1	2,325240E-1	-5,311382E-1	-4,342044E-1	-5,128624E-2	-9,904224E-2
2,961969E-1	2,803508E-2	-7,257998E-1	2,325598E-1	-5,310786E-1	-4,341925E-1	-5,126240E-2	-9,899455E-2
2,962923E-1	2,817813E-2	-7,257879E-1	2,326790E-1	-5,309117E-1	-4,340733E-1	-5,121472E-2	-9,900647E-2
2,962327E-1	2,821389E-2	-7,258475E-1	2,327863E-1	-5,309237E-1	-4,340613E-1	-5,127432E-2	-9,893495E-2
2,963161E-1	2,821389E-2	-7,257521E-1	2,328698E-1	-5,309356E-1	-4,340852E-1	-5,127432E-2	-9,899455E-2
